code,id,name,user_type_id/id,reconcile,chart_template_id/id
11110000,pcg_11110000,Capital social,account.data_account_type_equity,FALSE,l10n_ma
11120000,pcg_11120000,Fonds de dotation,account.data_account_type_equity,FALSE,l10n_ma
11170000,pcg_11170000,Capital personnel,account.data_account_type_equity,FALSE,l10n_ma
11171000,pcg_11171000,Capital individuel,account.data_account_type_equity,FALSE,l10n_ma
11175000,pcg_11175000,Compte de l'exploitant,account.data_account_type_equity,FALSE,l10n_ma
11190000,pcg_11190000,"Actionnaires, capital souscrit-non appelé",account.data_account_type_equity,FALSE,l10n_ma
11210000,pcg_11210000,Primes d'émission,account.data_account_type_equity,FALSE,l10n_ma
11220000,pcg_11220000,Primes de fusion,account.data_account_type_equity,FALSE,l10n_ma
11230000,pcg_11230000,Primes d'apport,account.data_account_type_equity,FALSE,l10n_ma
11300000,pcg_11300000,Ecarts de réévaluation,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
11400000,pcg_11400000,Réserve légale,account.data_account_type_equity,FALSE,l10n_ma
11510000,pcg_11510000,Réserves statutaires ou contractuelles,account.data_account_type_equity,FALSE,l10n_ma
11520000,pcg_11520000,Réserves facultatives,account.data_account_type_equity,FALSE,l10n_ma
11550000,pcg_11550000,Réserves réglementées,account.data_account_type_equity,FALSE,l10n_ma
11610000,pcg_11610000,Report à nouveau (solde créditeur),account.data_account_type_equity,FALSE,l10n_ma
11690000,pcg_11690000,Report à nouveau (solde débiteur),account.data_account_type_equity,FALSE,l10n_ma
11810000,pcg_11810000,Résultats nets en instance d'affectation (solde créditeur),account.data_account_type_equity,FALSE,l10n_ma
11890000,pcg_11890000,Résultats nets en instance d'affectation (solde débiteur),account.data_account_type_equity,FALSE,l10n_ma
11910000,pcg_11910000,Résultat net de l'exercice (solde créditeur),account.data_unaffected_earnings,FALSE,l10n_ma
13110000,pcg_13110000,Subventions d'investissement reçues,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
13190000,pcg_13190000,Subventions d'investissement inscrites au CPC,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
13510000,pcg_13510000,Provisions pour amortissements dérogatoires,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
13520000,pcg_13520000,Provisions pour plus-values en instance d'imposition,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
13540000,pcg_13540000,Provisions pour investissements,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
13550000,pcg_13550000,Provisions pour reconstitution des gisements,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
13560000,pcg_13560000,Provisions pour acquisition et construction de logements,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
13580000,pcg_13580000,Autres provisions réglementées,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
14100000,pcg_14100000,Emprunts obligataires,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
14810000,pcg_14810000,Emprunts auprès des établissements de crédit,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
14820000,pcg_14820000,Avances de l'Etat,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
14830000,pcg_14830000,Dettes rattachées à des participations,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
14840000,pcg_14840000,Billets de fonds,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
14850000,pcg_14850000,Avances reçues et comptes courants bloqués,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
14860000,pcg_14860000,Fournisseurs d'immobilisation,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
14870000,pcg_14870000,Dépôts et cautionnements reçues,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
14880000,pcg_14880000,Dettes de financement diverses,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
15110000,pcg_15110000,Provisions pour litiges,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
15120000,pcg_15120000,Provisions pour garanties données aux clients,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
15130000,pcg_15130000,Provisions pour propre assureur,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
15140000,pcg_15140000,Provision pour pertes sur marchés à terme,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
15150000,pcg_15150000,"Provisions pour amendes, double droits, pénalités",account.data_account_type_non_current_liabilities,FALSE,l10n_ma
15160000,pcg_15160000,Provisions pour pertes de change,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
15180000,pcg_15180000,Autres provisions pour risques,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
15510000,pcg_15510000,Provisions pour impôts,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
15520000,pcg_15520000,Provisions pour pensions de retraite et obligations similaires,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
15550000,pcg_15550000,Provisions pour charges à répartir sur plusieurs exercices,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
15580000,pcg_15580000,Autres provisions pour charges,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
16010000,pcg_16010000,Comptes de liaison du siège,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
16050000,pcg_16050000,Comptes de liaison des établissements,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
17100000,pcg_17100000,Augmentation des créances immobilisées,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
17200000,pcg_17200000,Diminution des dettes de financement,account.data_account_type_non_current_liabilities,FALSE,l10n_ma
21110000,pcg_21110000,Frais de constitution,account.data_account_type_non_current_assets,FALSE,l10n_ma
21120000,pcg_21120000,Frais préalables au démarrage,account.data_account_type_non_current_assets,FALSE,l10n_ma
21130000,pcg_21130000,Frais d'augmentation du capital,account.data_account_type_non_current_assets,FALSE,l10n_ma
21140000,pcg_21140000,"Frais sur opérations de fusions, scissions et transformations",account.data_account_type_non_current_assets,FALSE,l10n_ma
21160000,pcg_21160000,Frais de prospection,account.data_account_type_non_current_assets,FALSE,l10n_ma
21170000,pcg_21170000,Frais de publicité,account.data_account_type_non_current_assets,FALSE,l10n_ma
21180000,pcg_21180000,Autres frais préliminaires,account.data_account_type_non_current_assets,FALSE,l10n_ma
21210000,pcg_21210000,Frais d'acquisitition des immobilisations,account.data_account_type_non_current_assets,FALSE,l10n_ma
21250000,pcg_21250000,Frais d'émission des emprunts,account.data_account_type_non_current_assets,FALSE,l10n_ma
21280000,pcg_21280000,Autres charges à répartir,account.data_account_type_non_current_assets,FALSE,l10n_ma
21300000,pcg_21300000,Primes de remboursement des obligations,account.data_account_type_non_current_assets,FALSE,l10n_ma
22100000,pcg_22100000,Immobilisation en recherche et développement,account.data_account_type_non_current_assets,FALSE,l10n_ma
22200000,pcg_22200000,"Brevets, marques, droits et valeurs similaires",account.data_account_type_non_current_assets,FALSE,l10n_ma
22300000,pcg_22300000,Fonds commercial,account.data_account_type_non_current_assets,FALSE,l10n_ma
22850000,pcg_22850000,Immobilisations incorporelles en cours,account.data_account_type_non_current_assets,FALSE,l10n_ma
23110000,pcg_23110000,Terrains nus,account.data_account_type_non_current_assets,FALSE,l10n_ma
23120000,pcg_23120000,Terrains aménagés,account.data_account_type_non_current_assets,FALSE,l10n_ma
23130000,pcg_23130000,Terrains bâtis,account.data_account_type_non_current_assets,FALSE,l10n_ma
23140000,pcg_23140000,Terrains de gisement,account.data_account_type_non_current_assets,FALSE,l10n_ma
23160000,pcg_23160000,Agencements et aménagements de terrains,account.data_account_type_non_current_assets,FALSE,l10n_ma
23180000,pcg_23180000,Autres terrains,account.data_account_type_non_current_assets,FALSE,l10n_ma
23210000,pcg_23210000,Bâtiments,account.data_account_type_non_current_assets,FALSE,l10n_ma
23211000,pcg_23211000,"Bâtiments industriels (A,B,,,)",account.data_account_type_non_current_assets,FALSE,l10n_ma
23214000,pcg_23214000,"Bâtiments administratifs et commerciaux (A,B,,,)",account.data_account_type_non_current_assets,FALSE,l10n_ma
23218000,pcg_23218000,Autres bâtiments,account.data_account_type_non_current_assets,FALSE,l10n_ma
23230000,pcg_23230000,Constructions sur terrains d'autrui,account.data_account_type_non_current_assets,FALSE,l10n_ma
23250000,pcg_23250000,Ouvrages d'infrastructure,account.data_account_type_non_current_assets,FALSE,l10n_ma
23270000,pcg_23270000,Agencements et aménagements des constructions,account.data_account_type_non_current_assets,FALSE,l10n_ma
23280000,pcg_23280000,Autres constructions,account.data_account_type_non_current_assets,FALSE,l10n_ma
23310000,pcg_23310000,Installations techniques,account.data_account_type_non_current_assets,FALSE,l10n_ma
23320000,pcg_23320000,Matériel et outillage,account.data_account_type_non_current_assets,FALSE,l10n_ma
23321000,pcg_23321000,Matériel,account.data_account_type_non_current_assets,FALSE,l10n_ma
23324000,pcg_23324000,Outillage,account.data_account_type_non_current_assets,FALSE,l10n_ma
23330000,pcg_23330000,Emballages récupérables identifiables,account.data_account_type_non_current_assets,FALSE,l10n_ma
23380000,pcg_23380000,"Autres installations techniques, matériel et outillage",account.data_account_type_non_current_assets,FALSE,l10n_ma
23400000,pcg_23400000,Matériel de transport,account.data_account_type_non_current_assets,FALSE,l10n_ma
23510000,pcg_23510000,Mobilier de bureau,account.data_account_type_non_current_assets,FALSE,l10n_ma
23520000,pcg_23520000,Matériel de bureau,account.data_account_type_non_current_assets,FALSE,l10n_ma
23550000,pcg_23550000,Matériel informatique,account.data_account_type_non_current_assets,FALSE,l10n_ma
23560000,pcg_23560000,"Agencements, installations et aménagements divers (biens n'appartenant pas à l'entreprise)",account.data_account_type_non_current_assets,FALSE,l10n_ma
23580000,pcg_23580000,"Autres mobilier, matériel de bureau et aménagements divers",account.data_account_type_non_current_assets,FALSE,l10n_ma
23800000,pcg_23800000,Autres immobilisations corporelles,account.data_account_type_non_current_assets,FALSE,l10n_ma
23920000,pcg_23920000,Immobilisations corporelles en cours des terrains et constructions,account.data_account_type_non_current_assets,FALSE,l10n_ma
23930000,pcg_23930000,"Immobilisations corporelles en cours des installations techniques, matériel et outillage",account.data_account_type_non_current_assets,FALSE,l10n_ma
23940000,pcg_23940000,Immobilisations corporelles en cours de matériel de transport,account.data_account_type_non_current_assets,FALSE,l10n_ma
23950000,pcg_23950000,"Immobilisations corporelles en cours de mobilier, matériel de bureau et aménagements divers",account.data_account_type_non_current_assets,FALSE,l10n_ma
23970000,pcg_23970000,Avances et acomptes versés sur commandes d'immobilisations corporelles,account.data_account_type_non_current_assets,FALSE,l10n_ma
23980000,pcg_23980000,Autres immobilisations corporelles en cours,account.data_account_type_non_current_assets,FALSE,l10n_ma
24110000,pcg_24110000,Prêts au personnel,account.data_account_type_non_current_assets,FALSE,l10n_ma
24150000,pcg_24150000,Prêts aux associés,account.data_account_type_non_current_assets,FALSE,l10n_ma
24160000,pcg_24160000,Billets de fonds,account.data_account_type_non_current_assets,FALSE,l10n_ma
24180000,pcg_24180000,Autres prêts,account.data_account_type_non_current_assets,FALSE,l10n_ma
24810000,pcg_24810000,Titres immobilisés (droits de créance),account.data_account_type_non_current_assets,FALSE,l10n_ma
24811000,pcg_24811000,Obligations,account.data_account_type_non_current_assets,FALSE,l10n_ma
24813000,pcg_24813000,Bons d'équipement,account.data_account_type_non_current_assets,FALSE,l10n_ma
24818000,pcg_24818000,Bons divers,account.data_account_type_non_current_assets,FALSE,l10n_ma
24830000,pcg_24830000,Créances rattachées à des participations,account.data_account_type_non_current_assets,FALSE,l10n_ma
24860000,pcg_24860000,Dépôts et cautionnements versés,account.data_account_type_non_current_assets,FALSE,l10n_ma
24861000,pcg_24861000,Dépôts,account.data_account_type_non_current_assets,FALSE,l10n_ma
24864000,pcg_24864000,Cautionnements,account.data_account_type_non_current_assets,FALSE,l10n_ma
24870000,pcg_24870000,Créances immobilisées,account.data_account_type_non_current_assets,FALSE,l10n_ma
24880000,pcg_24880000,Créances financères diverses,account.data_account_type_non_current_assets,FALSE,l10n_ma
25100000,pcg_25100000,Titres de participation,account.data_account_type_non_current_assets,FALSE,l10n_ma
25810000,pcg_25810000,Actions,account.data_account_type_non_current_assets,FALSE,l10n_ma
25880000,pcg_25880000,Titres divers,account.data_account_type_non_current_assets,FALSE,l10n_ma
27100000,pcg_27100000,Diminution des créances immobilisées,account.data_account_type_non_current_assets,FALSE,l10n_ma
27200000,pcg_27200000,Augmentation des dettes de financement,account.data_account_type_non_current_assets,FALSE,l10n_ma
28110000,pcg_28110000,Amortissements des frais préliminaires,account.data_account_type_non_current_assets,FALSE,l10n_ma
28111000,pcg_28111000,Amortissements des frais de constitution,account.data_account_type_non_current_assets,FALSE,l10n_ma
28112000,pcg_28112000,Amortissements des frais préliminaires au démarrage,account.data_account_type_non_current_assets,FALSE,l10n_ma
28113000,pcg_28113000,Amortissements des frais d'augmentation du capital,account.data_account_type_non_current_assets,FALSE,l10n_ma
28114000,pcg_28114000,"Amortissements des frais sur opérations de fusions, scissions, et transformations",account.data_account_type_non_current_assets,FALSE,l10n_ma
28116000,pcg_28116000,Amortissements des frais de prospection,account.data_account_type_non_current_assets,FALSE,l10n_ma
28117000,pcg_28117000,Amortissements des frais de publicité,account.data_account_type_non_current_assets,FALSE,l10n_ma
28118000,pcg_28118000,Amortissements des autres frais préliminaires,account.data_account_type_non_current_assets,FALSE,l10n_ma
28120000,pcg_28120000,Amortissements des charges à répartir,account.data_account_type_non_current_assets,FALSE,l10n_ma
28121000,pcg_28121000,Amortissements des frais d'acquisition des immobilisations,account.data_account_type_non_current_assets,FALSE,l10n_ma
28125000,pcg_28125000,Amortissements des frais d'émission des emprunts,account.data_account_type_non_current_assets,FALSE,l10n_ma
28128000,pcg_28128000,Amortissements des autres charges à répartir,account.data_account_type_non_current_assets,FALSE,l10n_ma
28130000,pcg_28130000,Amortissements des primes de remboursement des obligations,account.data_account_type_non_current_assets,FALSE,l10n_ma
